,STREETSEGID,BIKELANE_COUNT,Bus/Bike Lane,Existing Bike Lane,Cycle Track,Shared Lane,Contraflow Bike Lane,Climbing Lane
0,876,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,13161,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8240,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,10395,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,10090,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8384,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,11625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,7886,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,5660,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,9116,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8292,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,7297,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1672,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,12034,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,10385,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2902,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1064,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,9793,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,4213,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,9979,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,9806,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,6868,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,7690,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,9031,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,179,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,7435,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,8751,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,5804,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,6598,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,5768,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,10726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,12250,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,9411,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,8891,0.0,0.0,0.0,0.0,0.0,0.0,0.0
