,BIKELANE,STREETSEGID
0,0.0,876
1,0.0,13161
2,0.0,8240
3,0.0,10395
4,0.0,2216
5,0.0,10090
6,0.0,8384
7,0.0,11625
8,0.0,7886
9,0.0,5660
10,0.0,9116
11,0.0,8292
12,0.0,7297
13,0.0,1672
14,0.0,12034
15,0.0,10385
16,0.0,2902
17,0.0,1064
18,0.0,9793
19,0.0,4213
20,0.0,9979
21,0.0,9806
22,0.0,6868
23,0.0,7690
24,0.0,9031
25,0.0,179
26,0.0,7435
27,0.0,8751
28,0.0,5804
29,0.0,6598
30,0.0,5768
31,0.0,10726
32,0.0,12250
33,0.0,9411
34,0.0,8891
35,0.0,277
36,0.0,6012
37,0.0,12295
38,0.0,10565
39,0.0,1440
40,0.0,9936
41,0.0,12470
42,0.0,1750
43,0.0,11036
44,0.0,9562
45,0.0,667
46,0.0,11037
47,0.0,2308
48,0.0,5903
49,0.0,610
50,0.0,9899
51,0.0,13068
52,0.0,3647
53,0.0,5223
54,0.0,2008
55,0.0,6104
56,0.0,5404
57,0.0,12161
58,0.0,13135
59,0.0,4112
60,0.0,10576
61,0.0,869
62,0.0,1268
63,0.0,1746
64,0.0,12504
65,0.0,10637
66,0.0,6690
67,0.0,7219
68,0.0,8399
69,0.0,677
70,0.0,7181
71,0.0,7742
72,0.0,7351
73,0.0,938
74,0.0,4053
75,0.0,5278
76,0.0,3829
77,0.0,11413
78,0.0,10534
79,0.0,5210
80,0.0,5181
81,0.0,10744
82,0.0,84
83,0.0,83
84,0.0,11579
85,0.0,1330
86,0.0,4761
87,0.0,9666
88,0.0,6021
89,0.0,10599
90,0.0,2093
91,0.0,11905
92,0.0,3488
93,0.0,1248
94,0.0,6824
95,1.0,12357
96,1.0,11684
97,0.0,5688
98,0.0,92
99,0.0,2167
100,0.0,9664
101,0.0,6564
102,0.0,6678
103,0.0,10237
104,0.0,5824
105,0.0,141
106,0.0,5805
107,0.0,12821
108,0.0,11517
109,0.0,3011
110,0.0,9632
111,0.0,13139
112,0.0,2276
113,0.0,12886
114,0.0,9981
115,0.0,7900
116,0.0,564
117,0.0,9794
118,0.0,5453
119,0.0,4051
120,0.0,9830
121,0.0,7811
122,0.0,3885
123,0.0,11638
124,0.0,10187
125,0.0,11982
126,0.0,5398
127,0.0,4503
128,0.0,10108
129,0.0,1370
130,0.0,12119
131,0.0,6038
132,0.0,5717
133,0.0,4323
134,0.0,3503
135,0.0,10596
136,1.0,6624
137,1.0,4167
138,1.0,3978
139,1.0,11770
140,1.0,491
141,0.0,6686
142,0.0,7913
143,0.0,1457
144,0.0,5168
145,0.0,12078
146,0.0,2317
147,0.0,12203
148,0.0,10838
149,0.0,2075
150,0.0,11134
151,0.0,2474
152,0.0,8003
153,0.0,10820
154,0.0,3241
155,0.0,9566
156,0.0,2040
157,0.0,5167
158,0.0,10928
159,0.0,7759
160,1.0,2089
161,0.0,5095
162,0.0,12720
163,0.0,10181
164,0.0,5340
165,0.0,778
166,0.0,11520
167,0.0,1407
168,0.0,12970
169,0.0,1174
170,0.0,10473
171,0.0,779
172,0.0,2829
173,0.0,9361
174,0.0,12596
175,0.0,4587
176,0.0,4958
177,0.0,6694
178,0.0,4031
179,0.0,4842
180,0.0,3275
181,0.0,5399
182,0.0,2698
183,0.0,9595
184,0.0,5971
185,0.0,4620
186,0.0,8986
187,0.0,6778
188,0.0,335
189,0.0,75
190,0.0,7019
191,0.0,7323
192,0.0,3312
193,0.0,2529
194,0.0,8390
195,0.0,9104
196,0.0,1984
197,0.0,3900
198,0.0,12401
199,0.0,6914
200,0.0,2077
201,0.0,4685
202,0.0,9341
203,0.0,3736
204,0.0,10814
205,0.0,7879
206,0.0,674
207,0.0,4152
208,0.0,3766
209,0.0,10254
210,0.0,11173
211,0.0,7813
212,0.0,5496
213,0.0,10346
214,0.0,10759
215,0.0,3397
216,0.0,10087
217,0.0,12598
218,0.0,2129
219,0.0,5727
220,0.0,5294
221,0.0,10846
222,0.0,8616
223,0.0,1982
224,0.0,4819
225,0.0,5657
226,0.0,2886
227,0.0,9506
228,1.0,9636
229,1.0,7199
230,1.0,8757
231,1.0,142
232,0.0,11140
233,0.0,2275
234,0.0,3975
235,0.0,12622
236,0.0,5778
237,0.0,126
238,0.0,8577
239,0.0,5985
240,0.0,9960
241,0.0,10157
242,0.0,178
243,0.0,10404
244,0.0,12823
245,0.0,94
246,0.0,772
247,0.0,1754
248,1.0,6816
249,1.0,11841
250,1.0,8839
251,1.0,3324
252,1.0,2783
253,1.0,12836
254,1.0,12493
255,0.0,8098
256,0.0,6068
257,0.0,4653
258,0.0,12336
259,0.0,9917
260,1.0,7336
261,1.0,8191
262,1.0,10897
263,1.0,3692
264,1.0,9722
265,1.0,9469
266,1.0,9699
267,1.0,2329
268,1.0,12551
269,1.0,1368
270,1.0,3685
271,1.0,11534
272,1.0,5846
273,0.0,5291
274,0.0,6120
275,0.0,4519
276,0.0,11162
277,0.0,1687
278,0.0,4635
279,0.0,12434
280,0.0,8174
281,1.0,12091
282,1.0,8135
283,0.0,426
284,1.0,9683
285,1.0,8127
286,1.0,9855
287,1.0,3356
288,1.0,9284
289,1.0,5877
290,0.0,4008
291,0.0,5309
292,0.0,4383
293,0.0,3558
294,0.0,6923
295,0.0,7999
296,0.0,367
297,0.0,7457
298,0.0,9586
299,0.0,12560
300,0.0,12279
301,0.0,11752
302,0.0,12875
303,0.0,8329
304,0.0,2480
305,0.0,3706
306,0.0,10117
307,0.0,11701
308,0.0,9142
309,0.0,12157
310,0.0,2858
311,0.0,8429
312,0.0,5721
313,0.0,7718
314,0.0,9627
315,0.0,11256
316,0.0,368
317,0.0,5085
318,0.0,2333
319,0.0,143
320,0.0,11785
321,0.0,7930
322,0.0,5993
323,0.0,9646
324,0.0,2801
325,0.0,9514
326,0.0,1455
327,0.0,578
328,0.0,11821
329,0.0,6377
330,0.0,6924
331,0.0,5635
332,0.0,13243
333,0.0,1178
334,0.0,6031
335,0.0,11371
336,0.0,9896
337,0.0,2578
338,0.0,3677
339,0.0,6079
340,0.0,11349
341,0.0,7014
342,0.0,4998
343,0.0,4925
344,0.0,3614
345,0.0,6136
346,0.0,7559
347,0.0,8948
348,0.0,5583
349,0.0,4658
350,0.0,3604
351,0.0,1560
352,0.0,5022
353,0.0,3633
354,0.0,7680
355,0.0,3852
356,0.0,801
357,0.0,8256
358,0.0,12708
359,0.0,6886
360,0.0,345
361,0.0,11662
362,0.0,1751
363,0.0,9162
364,0.0,967
365,0.0,9706
366,0.0,9441
367,0.0,9163
368,0.0,5793
369,0.0,6228
370,0.0,12521
371,0.0,6630
372,0.0,10174
373,0.0,1190
374,0.0,1395
375,0.0,9989
376,0.0,4562
377,0.0,9537
378,0.0,8019
379,0.0,9838
380,0.0,10963
381,1.0,6014
382,1.0,6812
383,1.0,1479
384,1.0,11702
