,index_seg,cycle_lane,is_shared,cycle_way,side_walk,bikable
0,9,both,0,,,
1,10,both,0,,,
2,17,both,0,,,
3,33,one,0,,,
4,34,one,0,,,
5,38,one,0,,,
6,39,one,0,,,
7,40,both,0,,,
8,134,both,0,,both,
9,156,both,0,,both,
10,158,both,0,,both,
11,178,,0,,,yes
12,225,both,0,,both,
13,226,both,0,,both,
14,227,both,0,,both,
15,228,both,0,,both,
16,230,both,0,,both,
17,232,one,0,,,
18,309,both,0,,both,
19,311,both,0,,both,
20,327,both,0,,both,
21,328,both,0,,both,
22,341,,0,,,no
23,349,one,0,,,
24,351,one,1,,,
25,353,one,1,,,
26,354,one,1,,,
27,358,one,0,,,
28,359,one,0,,,
29,360,,0,,,no
30,361,,0,,,no
31,364,,0,,,no
32,366,,0,,,no
33,367,one,0,,,
34,368,one,0,,,
35,370,,0,,,yes
36,386,one,0,,,
37,387,one,0,,,
38,461,,0,,,no
39,471,,0,,,no
40,473,,0,,,no
41,477,,0,,,no
42,484,,0,,,no
43,487,,0,,,yes
44,488,,0,,,yes
45,489,,0,,,no
46,497,,0,,,yes
47,499,,0,,,yes
48,508,,0,,,yes
49,523,,0,,,no
50,524,,0,,,no
51,525,,0,,,
52,526,,0,,,
53,531,,0,,,yes
54,541,,0,,,
55,542,one,0,,,
56,543,one,0,,,
57,545,one,0,,,
58,546,one,0,,,
59,548,one,0,,,
60,550,one,0,,,
61,551,one,0,,,
62,556,one,0,,,
63,557,one,0,,,
64,558,one,0,,,
65,563,one,0,,,
66,566,one,1,,,
67,569,one,1,,,
68,570,one,1,,,
69,571,one,1,,,
70,572,one,1,,,
71,577,one,0,,,
72,581,,0,,,no
73,586,both,0,,,
74,587,,0,,both,
75,588,one,0,,,
76,597,one,0,,,
77,598,,0,,,no
78,599,,0,,,yes
79,600,,0,,,yes
80,607,one,0,,,
81,608,one,0,,,
82,610,one,0,,,
83,611,one,0,,,
84,612,one,0,,,
85,615,,0,,,no
86,624,one,0,,,
87,693,one,0,,,
88,694,one,0,,,
89,695,both,0,,,
90,696,both,0,,,
91,708,,0,,,no
92,712,,0,,,no
93,713,one,0,,,no
94,714,one,0,,,no
95,715,,0,,,no
96,716,,0,,,no
97,717,,0,,,no
98,718,,0,,,no
99,719,,0,,,no
100,720,one,0,,,no
101,721,,0,,,no
102,722,,0,,,no
103,723,,0,,,no
104,724,both,0,,,
105,728,,0,,,
106,732,one,0,,,
107,780,,0,,,
108,781,one,0,,,
109,782,,0,,,
110,784,,0,,,
111,785,one,1,,,
112,786,,0,,both,
113,788,one,0,,,
114,798,one,1,,both,yes
115,800,one,1,,both,yes
116,801,one,0,,,
117,802,both,0,,both,
118,803,one,0,,both,
119,804,both,0,,,
120,805,both,0,,both,yes
121,807,one,0,,both,
122,815,,0,,,no
123,816,,0,,,no
124,817,,0,,,no
125,819,both,0,,,yes
126,820,,0,,,no
127,828,,0,,,no
128,838,,0,,,yes
129,839,,0,,,yes
130,843,,0,,,
131,847,,0,,,yes
132,850,,0,,both,
133,851,,0,,both,
134,852,,0,,,
135,853,,0,,,
136,861,,0,,,
137,862,,0,,,
138,863,,0,,,
139,866,,0,,,
140,873,,0,,,no
141,878,,0,,,
142,882,,0,,both,
143,883,,0,,both,
144,892,,0,,,
145,893,,0,,,
146,894,one,1,,,
147,895,one,1,,,
148,899,one,1,,,
149,900,,0,,both,
150,901,,0,,both,
151,902,,0,,,
152,930,,0,,,no
153,934,,0,,,no
154,936,both,0,,,
155,938,both,0,,,
156,1008,,0,,,no
157,1113,,0,both,,
158,1114,,0,both,,
159,1115,,0,,,no
160,1116,,0,,,no
161,1123,,0,,,no
162,1124,,0,both,,
163,1125,,0,,,no
164,1129,one,0,,,no
165,1130,one,0,,,no
166,1132,one,0,,,no
167,1135,,0,both,,no
168,1136,both,0,,,
169,1139,,0,,right,no
170,1155,both,0,,,no
171,1159,both,0,,,no
172,1160,,0,,,no
173,1182,,0,,,no
174,1184,,0,,,yes
175,1187,both,0,,both,
176,1193,one,0,,,
177,1194,both,0,,,
178,1195,one,0,,,
179,1196,one,0,,,
180,1197,one,0,,,
181,1203,one,0,,,
182,1204,one,0,,both,
183,1206,one,0,,,
184,1207,both,0,,both,
185,1210,one,1,,,
186,1211,one,0,,,
