STREETSEGID,bkdc_total,Bus/Bike Lane,Climbing Lane,Contraflow Bike Lane,Cycle Track,Existing Bike Lane,Shared Lane
0,2,0,0,0,0,2,0
3,1,0,0,1,0,0,0
8,1,0,0,0,0,1,0
10,1,0,0,0,0,1,0
12,1,0,0,0,0,1,0
27,1,0,0,0,0,1,0
29,1,0,0,0,0,1,0
32,1,0,0,0,0,1,0
48,1,0,0,0,0,1,0
57,1,0,0,0,0,1,0
62,1,0,0,0,0,1,0
77,1,0,0,0,0,1,0
79,1,0,0,0,0,1,0
88,1,0,0,0,0,1,0
97,1,0,0,0,0,1,0
99,1,0,0,0,0,1,0
104,1,0,1,0,0,0,0
132,1,0,0,0,0,1,0
139,1,0,0,0,0,0,1
142,1,0,0,0,0,1,0
153,1,0,0,0,0,0,1
173,1,0,0,0,0,1,0
184,1,0,0,0,1,0,0
189,1,0,0,0,1,0,0
195,1,0,0,0,0,1,0
241,1,0,0,0,0,1,0
243,1,0,0,0,0,1,0
247,1,0,0,0,0,1,0
252,1,0,0,0,0,1,0
264,1,0,0,0,0,1,0
276,1,0,0,0,0,1,0
278,1,0,0,0,0,1,0
279,1,0,0,0,0,1,0
289,1,0,0,0,0,1,0
294,1,0,0,0,0,0,1
297,1,0,0,0,1,0,0
301,1,0,0,0,0,0,1
317,2,0,0,0,0,0,2
327,1,0,0,0,0,1,0
339,1,0,0,0,0,1,0
361,1,0,0,0,0,1,0
362,1,0,0,0,0,1,0
366,1,0,1,0,0,0,0
393,1,0,0,1,0,0,0
399,1,0,0,1,0,0,0
411,1,0,0,0,0,1,0
419,1,0,0,0,0,1,0
421,1,0,0,0,0,1,0
467,1,0,0,0,0,0,1
481,1,0,0,0,0,1,0
487,1,0,0,0,0,1,0
491,1,0,0,0,0,1,0
494,1,0,0,0,0,1,0
499,1,0,0,0,0,1,0
536,1,0,0,0,0,0,1
543,1,0,0,0,0,1,0
551,1,0,0,0,0,1,0
554,1,0,0,0,1,0,0
565,1,0,0,0,0,0,1
576,1,0,0,0,0,1,0
587,1,0,0,0,0,1,0
608,1,0,0,0,0,1,0
609,1,0,0,0,0,1,0
638,1,0,0,0,0,1,0
644,1,0,0,0,0,1,0
650,1,0,0,0,0,1,0
671,1,0,0,0,0,1,0
676,1,0,0,0,0,1,0
678,1,0,0,0,0,1,0
697,1,0,0,0,0,1,0
699,1,0,0,0,0,0,1
700,1,0,1,0,0,0,0
703,1,0,0,0,0,1,0
705,1,0,0,0,0,0,1
711,1,0,0,1,0,0,0
713,1,0,0,0,1,0,0
732,1,0,0,0,0,1,0
746,1,0,0,0,1,0,0
763,1,0,0,0,0,1,0
769,1,0,0,0,0,1,0
782,1,0,0,0,0,1,0
785,1,0,0,0,0,1,0
795,1,0,0,0,0,0,1
796,1,0,0,0,0,1,0
797,1,0,0,0,0,1,0
800,1,0,0,0,0,1,0
819,1,0,1,0,0,0,0
833,1,0,0,0,0,1,0
842,1,0,0,0,0,1,0
847,1,0,0,0,0,0,1
850,1,0,0,0,0,0,1
857,1,0,0,0,0,1,0
859,1,0,0,0,1,0,0
864,1,0,0,0,0,1,0
873,1,0,0,0,0,1,0
889,1,0,1,0,0,0,0
913,1,0,0,0,1,0,0
941,1,0,0,0,0,1,0
949,1,0,0,0,0,1,0
980,1,0,0,0,0,1,0
988,1,0,0,0,0,1,0
1006,1,0,0,0,1,0,0
1007,1,0,0,0,0,0,1
1016,1,0,0,0,0,1,0
1030,1,0,0,0,0,1,0
1035,1,0,0,0,0,1,0
1044,1,0,0,0,0,1,0
1051,1,0,0,0,0,1,0
1053,1,0,1,0,0,0,0
1063,1,0,0,0,0,1,0
1067,1,0,0,0,1,0,0
1071,1,0,1,0,0,0,0
1074,1,0,0,0,0,1,0
1087,1,0,0,0,0,0,1
1090,1,0,0,0,0,1,0
1092,1,0,0,0,0,1,0
1097,1,0,0,0,0,1,0
1102,1,0,0,0,0,1,0
1112,1,0,0,0,0,1,0
1116,1,0,0,0,0,1,0
1126,1,0,0,0,0,0,1
1135,1,0,0,0,0,1,0
1139,1,0,0,0,0,1,0
1140,1,0,0,0,0,1,0
1141,1,0,0,0,0,1,0
1143,1,0,0,0,0,1,0
1146,1,0,0,0,0,1,0
1150,1,0,0,1,0,0,0
1156,1,0,0,0,0,0,1
1158,1,0,0,0,0,0,1
1173,1,0,0,0,0,1,0
1180,2,0,0,0,0,0,2
1185,1,0,0,0,0,1,0
1195,1,0,0,0,0,1,0
1210,1,0,0,0,0,1,0
1218,1,0,0,0,0,1,0
1220,1,0,0,0,0,0,1
1235,1,0,0,0,0,0,1
1237,1,0,0,0,0,1,0
1257,1,0,0,0,0,1,0
1269,1,0,0,0,0,1,0
1281,1,0,0,0,0,0,1
1287,1,0,1,0,0,0,0
1289,1,0,1,0,0,0,0
1292,1,0,0,0,1,0,0
1302,1,0,0,0,0,0,1
1308,1,0,0,0,0,1,0
1313,1,0,0,0,0,1,0
1315,1,0,0,0,0,0,1
1322,1,0,0,0,0,1,0
1324,1,0,0,0,0,1,0
1328,1,0,0,0,0,0,1
1334,1,0,0,0,0,1,0
1337,1,0,0,0,0,0,1
1341,1,0,0,0,1,0,0
1344,1,0,0,0,0,1,0
1345,1,0,0,0,1,0,0
1358,1,0,0,0,0,0,1
1366,1,0,0,0,1,0,0
1368,1,0,0,0,0,1,0
1371,1,0,0,0,1,0,0
1375,1,0,0,0,0,1,0
1388,1,0,0,0,0,0,1
1393,1,0,0,0,0,0,1
1424,1,0,0,0,0,1,0
1425,1,0,0,0,0,1,0
1431,1,0,0,0,0,1,0
1456,1,0,0,0,0,1,0
1458,1,0,0,0,0,1,0
1478,1,0,0,0,0,1,0
1479,1,1,0,0,0,0,0
1521,1,0,0,0,0,1,0
1542,1,0,0,0,0,1,0
1557,1,0,0,0,0,1,0
1569,1,0,0,0,0,1,0
1572,1,0,0,0,0,1,0
1577,1,0,0,0,0,1,0
1578,1,0,0,0,0,1,0
1586,1,0,0,0,0,1,0
1596,1,0,0,0,0,1,0
1620,1,0,0,0,0,1,0
1625,1,0,0,0,0,1,0
1629,1,0,0,0,0,0,1
1640,1,0,0,1,0,0,0
1668,1,0,0,0,0,1,0
1670,1,0,0,0,0,1,0
1675,1,0,0,0,0,1,0
1681,1,0,0,0,1,0,0
1699,1,0,0,0,0,1,0
1707,1,0,0,1,0,0,0
1727,1,0,0,0,0,0,1
1745,1,0,0,0,0,1,0
1752,1,0,0,0,0,1,0
1773,1,0,0,0,0,1,0
1775,1,0,0,0,0,1,0
1786,1,0,0,0,0,1,0
1799,1,0,0,0,0,0,1
1804,1,0,0,0,0,1,0
1808,1,0,0,0,0,1,0
1815,1,0,0,0,0,1,0
1820,1,0,0,0,0,1,0
1829,1,0,0,0,1,0,0
1833,1,0,0,0,0,1,0
1841,1,0,0,0,0,1,0
1845,1,0,0,0,0,1,0
1874,1,0,0,0,0,1,0
1884,1,0,0,0,0,0,1
1890,1,0,0,0,0,0,1
1917,1,0,0,0,0,0,1
1932,1,0,0,1,0,0,0
1946,1,0,0,0,0,1,0
1961,1,0,0,0,0,0,1
1967,1,0,0,0,0,1,0
1972,1,0,0,0,0,1,0
1973,1,0,0,0,0,1,0
1974,1,0,0,0,0,1,0
1976,1,0,0,0,0,1,0
1988,1,0,0,0,0,1,0
1992,1,0,0,0,0,1,0
1995,1,0,0,0,0,0,1
1999,1,0,0,0,0,1,0
2000,1,0,0,0,0,1,0
2004,1,0,0,0,1,0,0
2016,2,0,0,0,1,0,1
2042,1,0,0,0,0,1,0
2043,1,0,0,0,0,0,1
2061,1,0,0,0,0,1,0
2089,1,0,0,0,0,1,0
2090,1,0,0,1,0,0,0
2097,1,0,0,0,0,0,1
2107,1,0,0,0,0,1,0
2124,1,0,0,0,0,1,0
2149,1,0,0,0,0,1,0
2165,1,0,0,1,0,0,0
2175,1,0,0,0,0,0,1
2176,1,1,0,0,0,0,0
2182,1,0,0,0,0,1,0
2200,1,0,0,0,0,1,0
2206,1,0,0,0,0,1,0
2208,1,0,0,0,0,0,1
2223,1,0,0,0,0,1,0
2230,1,0,0,0,0,1,0
2237,1,0,0,0,0,1,0
2240,1,0,0,0,0,0,1
2256,1,0,0,0,0,1,0
2264,1,0,0,0,0,1,0
2293,1,0,0,0,0,0,1
2307,1,0,0,0,0,1,0
2327,1,0,0,0,0,1,0
2329,1,0,0,0,0,1,0
2330,1,0,0,0,0,1,0
2339,1,0,0,0,1,0,0
2346,1,0,0,0,0,1,0
2370,1,0,0,0,0,0,1
2382,1,0,0,0,0,1,0
2426,1,0,0,0,0,1,0
2450,1,0,0,0,0,1,0
2478,1,0,0,0,0,1,0
2491,1,0,0,0,0,1,0
2509,1,0,0,0,0,1,0
2512,1,0,0,0,0,1,0
2522,1,0,0,0,0,0,1
2524,1,0,0,0,0,1,0
2528,1,0,0,0,0,1,0
2540,1,0,0,0,1,0,0
2541,1,0,0,0,0,1,0
2546,1,0,0,0,0,1,0
2558,1,0,0,0,0,0,1
2569,1,0,0,0,0,1,0
2582,1,0,0,0,0,1,0
2583,1,0,0,0,0,1,0
2584,1,0,0,0,0,1,0
2585,1,0,0,0,0,1,0
2599,1,0,1,0,0,0,0
2610,1,0,0,0,0,1,0
2619,1,0,0,0,0,1,0
2638,1,0,0,0,0,1,0
2641,1,0,0,0,0,1,0
2679,1,0,0,0,0,1,0
2690,1,0,0,0,0,0,1
2691,1,0,0,0,0,0,1
2701,1,0,0,0,0,1,0
2713,1,0,0,0,0,0,1
2721,1,0,0,0,0,1,0
2723,1,0,0,0,0,0,1
2733,1,0,0,0,0,1,0
2744,1,0,0,0,0,1,0
2765,1,0,0,0,0,1,0
2777,1,0,0,0,0,1,0
2783,1,1,0,0,0,0,0
2790,1,0,0,0,0,1,0
2817,1,0,0,0,0,1,0
2877,1,0,0,0,0,0,1
2889,1,0,0,0,0,1,0
2897,1,0,0,0,0,1,0
2910,1,0,0,0,0,1,0
2912,1,0,0,0,0,1,0
2913,1,0,1,0,0,0,0
2915,1,0,0,0,0,1,0
2925,1,0,0,0,0,0,1
2966,1,0,0,0,0,0,1
2983,1,0,0,0,0,1,0
2997,1,0,0,0,0,0,1
