,index_seg,art,outdoors and recreation,retail shop,professional service,food,nightlife spot,residence,schools&university,cycling facilities,transportation,total
0,0,0,1,0,1,1,1,1,1,6,5,17
1,1,0,1,0,0,0,1,0,0,6,2,10
2,2,1,3,0,5,1,0,4,2,4,6,26
3,3,2,3,3,1,0,0,3,0,0,3,15
4,4,4,1,2,2,1,0,5,2,3,2,22
5,5,2,1,1,2,3,1,7,4,8,2,31
6,6,0,0,0,0,2,1,1,3,6,0,13
7,7,0,0,0,0,0,0,0,0,1,1,2
8,8,2,2,0,2,9,0,4,17,11,12,59
9,9,0,0,5,5,6,0,6,1,16,3,42
10,10,0,0,0,2,4,0,2,6,14,6,34
11,11,0,3,1,0,0,0,4,0,3,2,13
12,12,0,1,1,1,2,0,2,0,1,2,10
13,13,0,4,1,0,0,1,2,1,2,2,13
14,14,0,0,0,0,0,0,0,0,1,1,2
15,15,1,1,3,0,0,2,1,0,0,2,10
16,16,0,1,2,0,1,0,3,0,0,2,9
17,17,0,1,2,2,3,1,1,0,8,5,23
18,18,0,0,2,2,4,0,0,0,5,3,16
19,19,0,0,0,2,3,1,1,0,0,3,10
20,20,0,1,1,0,2,1,0,0,5,4,14
21,21,0,2,3,0,2,0,3,0,1,1,12
22,22,0,1,2,0,1,0,3,0,2,2,11
23,23,0,1,5,0,1,2,3,0,1,1,14
24,24,0,0,1,0,0,1,2,0,1,2,7
25,25,0,2,0,0,0,0,0,0,0,3,5
26,26,1,1,0,0,0,2,3,0,1,2,10
27,27,0,1,4,0,1,2,0,0,1,3,12
28,28,0,0,5,0,1,2,1,0,0,1,10
29,29,0,0,3,0,1,2,0,0,0,1,7
30,30,0,1,3,0,1,4,2,0,0,1,12
31,31,0,0,0,0,0,2,3,0,0,0,5
32,32,0,3,0,0,0,0,4,0,1,1,9
33,33,0,3,0,0,0,0,4,0,1,2,10
34,34,0,2,0,1,1,0,2,0,1,1,8
35,35,0,1,3,0,1,1,3,0,2,1,12
36,36,0,0,0,0,0,0,3,0,1,0,4
37,37,0,2,0,1,1,0,2,0,2,1,9
38,38,0,0,2,0,0,0,3,0,1,1,7
39,39,0,1,1,0,0,0,4,0,1,2,9
40,40,0,2,2,0,1,1,1,1,10,3,21
41,41,0,0,0,0,0,0,1,0,0,1,2
42,42,1,0,0,0,0,0,2,0,0,0,3
43,43,1,0,1,0,0,0,3,0,1,1,7
44,44,1,0,0,0,0,2,3,0,0,0,6
45,45,0,0,0,0,0,0,1,0,0,1,2
46,46,0,0,0,0,0,0,1,0,0,1,2
47,47,0,1,0,0,0,0,0,0,0,1,2
48,48,0,1,1,0,2,0,0,1,0,0,5
49,49,0,0,1,0,2,0,0,1,0,0,4
50,50,0,1,0,0,0,1,0,0,0,1,3
51,51,0,0,0,0,0,0,0,0,0,1,1
52,53,0,0,0,0,0,0,0,1,0,2,3
53,54,0,1,0,1,0,2,0,0,0,1,5
54,55,1,7,1,1,0,2,0,1,0,1,14
55,56,2,5,1,1,1,2,0,1,0,1,14
56,57,0,1,0,0,0,0,0,1,0,6,8
57,58,0,1,1,0,1,0,0,0,1,9,13
58,59,0,1,2,0,1,0,0,2,2,7,15
59,60,0,3,0,0,0,0,0,2,1,3,9
60,61,0,1,0,0,0,0,1,2,1,3,8
61,62,0,1,0,0,0,0,1,2,1,3,8
62,63,0,1,1,0,0,1,0,2,2,9,16
63,64,0,1,1,0,1,1,0,0,2,10,16
64,65,0,0,0,0,0,0,1,0,0,0,1
65,66,0,0,0,0,0,0,0,0,0,1,1
66,67,0,0,0,0,0,0,0,0,0,2,2
67,68,0,1,1,0,1,0,0,0,1,5,9
68,69,0,1,0,0,0,0,0,0,0,5,6
69,70,0,0,0,0,0,0,0,0,0,1,1
70,71,0,0,0,1,0,0,0,0,0,1,2
71,72,0,0,0,1,0,0,0,0,0,2,3
72,73,0,0,0,0,0,1,0,0,1,7,9
73,74,0,2,0,0,0,0,0,0,1,6,9
74,75,0,1,0,1,0,1,0,0,0,8,11
75,76,0,5,1,1,0,2,0,1,0,5,15
76,77,0,1,0,0,0,1,0,0,0,0,2
77,78,0,0,0,0,0,0,2,0,0,1,3
78,79,0,0,0,0,0,1,0,0,0,0,1
79,80,1,0,1,0,2,0,0,1,0,0,5
80,81,0,1,1,0,0,0,0,0,0,1,3
81,82,0,0,1,0,0,0,0,0,0,0,1
82,83,0,1,0,0,0,0,0,0,0,0,1
83,84,0,1,0,0,0,0,0,0,0,0,1
84,86,0,1,0,0,0,0,2,0,0,0,3
85,87,0,0,0,0,0,0,1,0,0,0,1
86,89,0,1,0,0,0,0,1,0,0,0,2
87,91,0,1,0,0,0,0,0,0,0,0,1
88,93,0,0,2,0,1,1,1,0,1,5,11
89,94,0,1,0,0,0,0,1,0,0,1,3
90,95,0,1,0,0,0,0,0,0,0,1,2
91,96,0,0,1,0,0,0,2,0,1,5,9
92,97,0,0,0,0,0,0,1,0,0,1,2
93,98,0,0,0,0,0,0,1,0,0,1,2
94,99,0,0,1,0,0,0,0,0,0,1,2
95,100,0,0,1,0,0,0,0,0,0,1,2
96,101,0,0,0,0,0,0,0,0,0,1,1
97,102,0,0,0,2,0,0,0,0,1,6,9
98,103,0,3,3,2,0,0,1,0,2,9,20
99,104,0,0,0,2,0,0,0,0,1,7,10
100,105,1,0,0,2,0,0,1,0,0,3,7
101,106,0,0,0,0,0,0,1,0,0,0,1
102,107,0,0,1,0,1,0,0,0,0,2,4
103,108,0,0,0,0,0,0,0,0,0,2,2
104,109,0,0,0,0,0,0,1,0,0,2,3
105,110,0,0,0,0,0,0,0,0,0,1,1
106,111,0,0,0,0,0,0,0,0,0,1,1
107,112,0,0,0,1,0,0,0,0,0,2,3
108,113,0,0,0,0,0,0,0,0,0,2,2
109,114,0,0,0,1,0,0,0,0,0,1,2
110,115,0,0,0,1,0,0,0,0,0,6,7
111,116,0,0,0,2,0,0,0,2,1,10,15
112,117,0,0,0,0,0,0,0,1,0,1,2
113,119,1,1,0,0,1,0,0,0,0,1,4
114,120,1,1,0,0,1,0,0,0,0,0,3
115,122,1,0,0,0,0,0,1,0,0,1,3
116,123,1,0,0,0,0,0,1,0,0,1,3
117,124,0,1,0,0,0,0,0,0,0,1,2
118,126,0,0,0,0,0,0,0,0,0,1,1
119,127,0,0,0,0,0,0,0,0,0,1,1
120,129,2,1,0,0,2,2,2,1,0,3,13
121,130,0,2,0,0,1,0,0,0,0,0,3
122,131,1,4,0,0,3,0,1,0,0,1,10
123,132,0,3,0,0,2,0,0,0,1,2,8
124,133,0,0,2,1,0,0,0,0,2,1,6
125,134,0,2,3,3,1,2,3,0,3,1,18
126,135,0,1,3,1,0,0,0,0,2,0,7
127,136,0,0,0,0,0,0,1,0,0,0,1
128,137,0,1,0,0,1,0,0,0,0,1,3
129,138,0,0,0,0,0,0,1,0,0,1,2
130,139,0,0,0,0,1,0,0,0,0,1,2
131,140,0,1,0,0,1,0,1,2,0,1,6
132,141,0,0,0,0,0,0,2,2,0,2,6
133,142,0,1,0,0,0,0,2,3,0,0,6
134,143,0,0,0,0,0,0,2,2,1,1,6
135,144,0,0,0,0,0,1,2,1,1,2,7
136,145,1,0,0,0,2,0,2,0,0,1,6
137,146,0,0,0,0,0,1,5,1,1,2,10
138,147,1,1,0,0,0,0,4,1,1,1,9
139,148,1,0,0,0,0,0,4,0,0,2,7
140,149,5,1,0,2,1,0,2,2,0,2,15
141,150,3,1,0,0,0,0,1,2,0,1,8
142,151,0,0,0,0,0,1,3,2,0,3,9
143,152,0,4,0,1,2,0,0,2,0,0,9
144,153,1,1,0,0,0,1,8,0,0,3,14
145,154,0,0,0,0,1,1,2,0,0,2,6
146,155,0,0,0,0,0,0,0,0,1,1,2
147,156,1,2,3,1,2,0,3,0,2,2,16
148,157,1,1,1,2,0,1,1,0,2,2,11
149,158,1,2,1,1,0,0,1,1,2,2,11
150,159,1,2,4,0,4,1,0,1,2,0,15
151,161,1,0,7,1,1,0,0,1,1,0,12
152,162,0,0,0,0,0,0,0,0,0,1,1
153,163,0,1,2,3,1,0,0,0,3,1,11
154,164,0,0,0,0,0,0,0,0,0,1,1
155,165,0,1,2,0,2,0,1,0,1,0,7
156,166,0,1,0,0,0,0,1,0,0,2,4
157,167,1,0,2,0,0,0,0,0,0,0,3
158,168,0,2,0,0,0,0,1,0,0,2,5
159,169,0,2,0,2,0,1,0,0,0,1,6
160,170,0,0,0,0,0,0,0,0,1,0,1
161,171,0,2,0,0,0,0,0,0,0,0,2
162,172,0,0,0,0,0,1,0,0,1,0,2
163,173,0,0,0,0,0,3,0,0,0,1,4
164,174,0,1,0,0,0,1,0,0,0,1,3
165,175,1,2,0,0,0,0,0,0,9,5,17
166,176,1,2,7,5,2,0,0,3,6,5,31
167,177,0,2,4,1,2,0,0,1,2,12,24
168,178,1,4,1,1,1,1,0,1,13,5,28
169,179,1,1,1,1,1,0,0,0,6,5,16
170,180,0,2,4,0,1,0,2,0,1,6,16
171,181,0,1,2,1,3,0,0,0,2,12,21
172,182,0,1,5,2,1,0,0,0,3,12,24
173,183,0,0,1,1,0,0,0,0,2,5,9
174,184,0,0,2,0,1,1,0,0,2,5,11
175,185,0,0,0,0,0,0,0,0,1,5,6
176,186,0,1,0,3,0,0,0,1,1,5,11
177,187,0,0,0,0,3,0,0,0,2,8,13
178,188,0,0,0,0,3,0,0,0,2,7,12
179,189,0,0,0,1,2,0,0,0,1,7,11
180,190,0,0,0,0,3,0,0,0,6,10,19
181,191,0,3,0,0,6,1,1,2,4,5,22
182,192,0,2,0,2,5,1,0,0,4,7,21
183,193,0,5,0,1,3,2,5,2,2,5,25
184,194,0,3,1,1,6,1,0,0,5,5,22
185,195,0,1,2,1,0,0,0,0,4,5,13
186,196,1,0,0,0,0,0,7,2,0,1,11
187,197,0,0,0,1,1,0,2,2,0,0,6
188,198,0,0,0,0,0,0,3,4,0,0,7
189,199,0,2,0,0,1,0,1,2,5,5,16
190,200,0,1,0,0,1,0,0,2,6,5,15
191,201,0,0,1,0,1,0,0,1,2,5,10
192,202,0,0,1,1,1,0,0,2,1,6,12
193,203,0,0,1,0,2,0,0,1,1,7,12
194,204,0,1,0,0,1,0,0,0,0,0,2
195,205,0,0,0,0,0,1,0,0,0,1,2
196,206,0,1,0,0,0,2,0,0,0,1,4
197,207,1,1,0,0,0,1,5,2,0,2,12
198,208,1,1,0,0,0,0,0,2,0,0,4
199,209,0,0,0,0,0,1,1,2,0,2,6
200,210,0,2,1,0,0,0,0,2,1,2,8
201,211,0,1,1,0,0,0,0,0,1,2,5
202,212,0,1,1,0,0,0,0,2,1,0,5
203,213,0,2,1,0,1,0,0,2,1,1,8
204,214,0,4,0,0,0,0,0,0,1,3,8
205,215,0,4,1,0,0,0,0,0,1,3,9
206,216,0,0,0,0,1,0,1,0,0,0,2
207,218,0,0,1,0,0,0,0,0,0,1,2
208,219,0,0,1,0,0,0,0,0,0,1,2
209,220,0,3,1,0,0,0,0,0,1,3,8
210,221,0,0,0,0,0,0,0,0,0,1,1
211,222,0,0,1,0,0,0,0,0,0,1,2
212,223,0,0,0,0,1,1,0,0,0,1,3
213,224,0,1,2,3,1,1,0,0,3,1,12
214,225,0,1,9,4,2,0,0,1,3,2,22
215,226,0,0,9,1,5,1,0,2,2,0,20
216,227,0,2,6,5,4,0,1,0,3,1,22
217,228,1,0,4,0,5,1,0,1,2,0,14
218,229,1,0,2,0,2,0,0,0,1,0,6
219,230,1,2,4,3,5,2,1,1,4,1,24
220,231,1,0,3,1,0,0,1,1,4,2,13
221,232,1,0,2,1,0,0,1,1,4,1,11
