index_seg,ftr_name_d_btw_cntr_SgAsEd,ud_bridge_SgAsEd,ud_btw_cntr_SgAsEd
0,168019.309348,,745738.19862
1,93279.0866565,,365154.500746
2,216179.482967,,1293155.0837
3,17313.1712016,,715839.987279
4,939002.409197,,1387417.74805
5,879314.639009,,249856.220072
6,612201.231275,,412185.938261
7,29058.643409,,3676.50884079
8,1567725.63576,,2880730.59662
9,838838.564331,,345226.678784
10,721408.670185,,726292.784659
11,63652.7502413,,8698.23800151
12,63640.7502413,,105730.09558
13,679217.997389,,396802.07951
14,277911.196965,,61061.6270587
15,41102.6536228,,34587.6408899
16,22113.3078203,,22680.4964112
17,843589.311718,,235524.875152
18,75929.623188,,141473.013582
19,51798.6618658,,46102.0080604
20,79718.2874674,,73348.0337465
21,49833.3033132,,2613.94299623
22,928076.550945,,380318.277988
23,74675.8789452,,97341.9578098
24,86356.9115191,,76650.2713419
25,12832.4545067,,90059.1535791
26,501243.261246,,188233.581007
27,426607.373569,,194949.060697
28,40850.5420899,,39597.6773643
29,77410.2105402,,160071.297439
30,463161.042019,,232803.182856
31,117352.919929,,85961.7987261
32,55755.5299677,,51374.2605868
33,78888.2898972,,77014.2009911
34,130242.954916,,173892.16798
35,903239.975313,,454219.587932
36,168719.584948,,82499.5323495
37,529357.344174,,380268.180472
38,63513.1447828,,2282.80484189
39,86027.9861428,,69977.2339987
40,923570.914751,,270556.665549
41,42205.951214,,27553.6253742
42,56737.8593419,,21198.338758
43,32974.4950437,,22456.6865358
44,79264.7007019,,47257.0300151
45,62080.8646888,,138232.371508
46,114204.182375,,32412.7606104
47,214338.46727,,253385.242038
48,274476.645745,,261199.864688
49,306977.580097,,416350.379541
50,57355.8273784,,112794.133407
51,352208.603964,,269111.010178
52,398564.06831,,229722.146127
53,782283.159094,,1191099.73275
54,490261.455324,,405690.246795
55,44780.0303272,,194234.66773
56,68286.4981162,,10733.1601403
57,16463.5873848,,4000.69541524
58,2652089.89437,,320374.349941
59,1149993.92969,,19757.8651598
60,202701.092342,,395350.226706
61,3072064.95165,,3532503.02434
62,478100.827158,,1235183.64936
63,343991.89608,,507788.429418
64,1521056.92834,,264447.565776
65,413778.176857,,313940.303263
66,53157.5791191,,50574.331937
67,69240.79863,,16744.3133377
68,62984.9750479,,30042.3154753
69,60215.2811226,,50781.2082881
70,78572.0604813,,27428.6660026
71,55262.2490695,,48032.7295144
