,index_seg,STREETSEGID,d_auth_score,d_btw_cntr,d_clo_cntr,d_far_cntr,d_hub_score,d_in_deg,d_node_ecc,d_out_deg,d_page_rank,ud_art_pt,ud_auth_score,ud_bridge,ud_btw_cntr,ud_clo_cntr,ud_deg_cntr,ud_eig_cntr,ud_far_cntr,ud_hub_score,ud_node_ecc,ud_page_rank
0,0,876,6.68472590169e-24,29.5,0.00014878738283,6721.0,2.26613053779e-17,0.00014878738283,1.0,0.00014878738283,0.000391908757127,1.0,1.17442634912e-12,2.0,11352.0,0.00104331672605,0.00014878738283,1.40710135852e-27,958.481710331,6.62420869156e-13,42.0,6.04860030679e-05
1,1,13161,1.83337982188e-12,10.5,0.00043743490552,2286.05442177,2.2125397023e-12,0.00014878738283,6.0,0.00014878738283,2.12729695779e-05,1.0,2.69283597559e-11,,11760.0,0.00112944418561,0.00029757476566,3.22918688718e-26,885.391250618,1.51938867367e-11,39.0,9.93142209145e-05
2,2,8240,3.32061511694e-17,120.25,0.000119029906264,8401.25,1.19175205063e-30,0.000223181074245,4.0,7.4393691415e-05,7.98666941949e-05,1.0,6.98403554248e-13,1.0,541.833333333,0.00107389303173,0.00029757476566,8.00787116866e-28,931.191441282,3.91606145744e-13,35.0,0.000114940293189
3,3,10395,0.0,0.0,0.000256529970396,3898.18,8.77881213468e-18,0.0,5.0,0.00014878738283,1.14989022769e-05,,8.80582684512e-13,,0.0,0.00108300083693,0.00014878738283,1.02343409279e-27,923.360320599,4.94757667672e-13,34.0,5.67410514165e-05
4,4,2216,6.68472590169e-24,2.5,7.4393691415e-05,13442.0,1.19175205063e-30,0.00014878738283,1.0,7.4393691415e-05,0.00018222346761,1.0,2.81985398068e-14,2.0,237.0,0.000786773012791,0.00014878738283,2.21510552853e-30,1271.01461761,1.51971073761e-14,46.0,8.25841255013e-05
5,5,10090,0.0,0.0,0.000111590537122,8961.33333333,2.77025497332e-21,0.0,3.0,7.4393691415e-05,1.14989022769e-05,,2.57193805194e-14,1.0,0.0,0.000786479331189,7.4393691415e-05,2.02063056844e-30,1271.48923099,1.38610153253e-14,46.0,4.32666795287e-05
6,6,8384,5.46668352245e-13,5.0,7.4393691415e-05,13442.0,2.77025497332e-21,0.00014878738283,1.0,7.4393691415e-05,0.000159970239245,1.0,1.70575851183e-12,2.0,1840.0,0.000948661921772,0.00014878738283,1.34660695275e-28,1054.11630535,9.19292581293e-13,42.0,6.20353526104e-05
7,7,11625,6.52385498577e-22,18.0,0.000455661359917,2194.6122449,2.85620920198e-13,7.4393691415e-05,7.0,0.00014878738283,2.50677834769e-05,,1.72052376259e-12,,3677.0,0.000983420363246,0.00014878738283,1.35824557579e-28,1016.85915543,9.27250032183e-13,42.0,6.16908564975e-05
8,8,7886,1.56931281583e-14,0.0,0.000194383516278,5144.4691358,4.58159027696e-15,7.4393691415e-05,6.0,7.4393691415e-05,2.97532852741e-05,,1.06326411317e-11,1.0,0.0,0.000364493492866,7.4393691415e-05,1.83457339481e-26,2743.53320312,6.03425260476e-12,13.0,3.23627931212e-05
9,9,5660,6.68472590169e-24,3.0,0.00014878738283,6721.0,1.97889994125e-20,0.00014878738283,1.0,0.00014878738283,0.000151317316455,1.0,1.06516017567e-18,2.0,13.0,0.000251399370989,0.00014878738283,1.14226364196e-44,3977.73469388,3.47528204586e-19,8.0,8.40276736559e-05
10,10,9116,1.48189531956e-20,13.0,0.000261995174114,3816.86419753,4.22949871828e-15,0.00014878738283,5.0,0.00014878738283,6.20930515466e-05,1.0,2.57196619927e-14,1.0,1412.5,0.00113062265408,0.000223181074245,1.37387653557e-33,884.468391278,1.22371851168e-14,52.0,8.71302734289e-05
11,11,8292,6.68472590169e-24,9.0,0.000227830679958,4389.2244898,3.1928741165e-22,0.00014878738283,4.0,0.00014878738283,5.67944451908e-05,1.0,1.94274898757e-12,2.0,707.0,0.00107198073175,0.00029757476566,2.28988938482e-27,932.852588094,1.09385304767e-12,34.0,0.000118587854092
12,12,7297,6.68472590169e-24,5.0,0.000206649142819,4839.12,5.54050994664e-21,0.00014878738283,3.0,0.00014878738283,3.10470368789e-05,1.0,2.386220423e-13,4.0,1401.0,0.000861749745707,0.00029757476566,1.87835696853e-29,1160.42970129,1.28601518137e-13,44.0,0.000142553641982
13,13,1672,6.37505140466e-30,0.0,7.4393691415e-05,13442.0,1.24964259824e-24,7.4393691415e-05,1.0,7.4393691415e-05,0.000106624461239,,6.35113254733e-27,1.0,0.0,9.91915885533e-05,7.4393691415e-05,1.11247192677e-65,10081.5,2.02980434451e-27,2.0,5.73123876195e-05
14,14,12034,1.48189531956e-20,5.5,0.000182602697109,5476.37037037,1.01500427014e-15,0.00014878738283,7.0,0.00014878738283,4.56147268261e-05,1.0,8.77661057099e-15,1.0,356.5,0.00104305847933,0.000223181074245,4.58768175889e-34,958.719017019,4.17456760123e-15,54.0,9.86048637434e-05
