,parent_id,cid,pluralName,shortName,name,level,order
0,root,4d4b7104d754a06370d81259,Arts & Entertainment,Arts & Entertainment,Arts & Entertainment,1,0
1,4d4b7104d754a06370d81259,56aa371be4b08b9a8d5734db,Amphitheaters,Amphitheater,Amphitheater,2,0
2,4d4b7104d754a06370d81259,4fceea171983d5d06c3e9823,Aquariums,Aquarium,Aquarium,2,1
3,4d4b7104d754a06370d81259,4bf58dd8d48988d1e1931735,Arcades,Arcade,Arcade,2,2
4,4d4b7104d754a06370d81259,4bf58dd8d48988d1e2931735,Art Galleries,Art Gallery,Art Gallery,2,3
5,4d4b7104d754a06370d81259,4bf58dd8d48988d1e4931735,Bowling Alleys,Bowling Alley,Bowling Alley,2,4
6,4d4b7104d754a06370d81259,4bf58dd8d48988d17c941735,Casinos,Casino,Casino,2,5
7,4d4b7104d754a06370d81259,52e81612bcbc57f1066b79e7,Circuses,Circus,Circus,2,6
8,4d4b7104d754a06370d81259,4bf58dd8d48988d18e941735,Comedy Clubs,Comedy Club,Comedy Club,2,7
9,4d4b7104d754a06370d81259,5032792091d4c4b30a586d5c,Concert Halls,Concert Hall,Concert Hall,2,8
10,4d4b7104d754a06370d81259,52e81612bcbc57f1066b79ef,Country Dance Clubs,Country Dance Club,Country Dance Club,2,9
11,4d4b7104d754a06370d81259,52e81612bcbc57f1066b79e8,Disc Golf Courses,Disc Golf,Disc Golf,2,10
12,4d4b7104d754a06370d81259,56aa371be4b08b9a8d573532,Exhibits,Exhibit,Exhibit,2,11
13,4d4b7104d754a06370d81259,4bf58dd8d48988d1f1931735,General Entertainment,Entertainment,General Entertainment,2,12
14,4d4b7104d754a06370d81259,52e81612bcbc57f1066b79ea,Go Kart Tracks,Go Kart,Go Kart Track,2,13
15,4d4b7104d754a06370d81259,4deefb944765f83613cdba6e,Historic Sites,Historic Site,Historic Site,2,14
16,4d4b7104d754a06370d81259,5744ccdfe4b0c0459246b4bb,Karaoke Boxes,Karaoke,Karaoke Box,2,15
17,4d4b7104d754a06370d81259,52e81612bcbc57f1066b79e6,Laser Tag Places,Laser Tag,Laser Tag,2,16
18,4d4b7104d754a06370d81259,5642206c498e4bfca532186c,Memorial Sites,Memorial Site,Memorial Site,2,17
19,4d4b7104d754a06370d81259,52e81612bcbc57f1066b79eb,Mini Golf Courses,Mini Golf,Mini Golf,2,18
