0,1,2
"('highway=footway',)",foot,3165
"('highway=footway', 'foot=yes')",foot,676
"('highway=residential', 'sidewalk=both')",sidewalk,435
"('highway=footway', 'bicycle=yes')",foot,153
"('highway=footway', 'bicycle=yes', 'foot=yes')",foot,152
"('highway=residential', 'sidewalk=no')",sidewalk_no,141
"('highway=footway', 'bicycle=no')",foot_nobk,115
"('highway=tertiary', 'sidewalk=both', 'lanes=2')",sidewalk,101
"('highway=path',)",path,98
"('highway=cycleway',)",cycleway,98
"('highway=residential', 'sidewalk=both', 'oneway=yes')",sidewalk,86
"('highway=motorway', 'bicycle=no', 'foot=no', 'sidewalk=none', 'oneway=yes', 'lanes=2')",no,65
"('highway=pedestrian',)",pedestrian,62
"('highway=motorway', 'bicycle=no', 'foot=no', 'sidewalk=none', 'oneway=yes', 'lanes=3')",no,58
"('highway=residential', 'sidewalk=both', 'lanes=2')",sidewalk,58
"('highway=track',)",track,56
"('highway=residential', 'sidewalk=left')",sidewalk_left,53
"('highway=footway', 'bicycle=no', 'foot=yes')",foot_nobk,53
"('highway=cycleway', 'foot=yes')",cycleway,51
"('highway=motorway', 'bicycle=no', 'foot=no', 'sidewalk=none', 'oneway=yes', 'lanes=4')",no,45
"('highway=residential', 'sidewalk=right')",sidewalk_right,45
"('highway=tertiary', 'cycleway=lane', 'oneway=yes', 'lanes=1')","M4_2,M2a_2,M2b_2,L1b_2,L1a_1",43
"('highway=tertiary', 'cycleway=lane', 'lanes=2')","L1b_2,L1a_1",42
"('highway=primary', 'sidewalk=right', 'oneway=yes', 'lanes=3')",sidewalk_right,41
"('highway=path', 'bicycle=yes', 'foot=yes')",path,36
"('highway=primary', 'sidewalk=right', 'oneway=yes', 'lanes=2')",sidewalk_right,34
"('highway=primary', 'sidewalk=both', 'oneway=yes', 'lanes=2')",sidewalk,32
"('highway=primary', 'sidewalk=both', 'oneway=yes', 'lanes=3')",sidewalk,32
"('highway=secondary', 'sidewalk=both', 'oneway=yes', 'lanes=3')",sidewalk,28
"('highway=primary', 'sidewalk=right', 'oneway=yes', 'lanes=4')",sidewalk_right,26
"('highway=footway', 'foot=designated')",foot,25
"('highway=cycleway', 'bicycle=yes', 'foot=yes')",cycleway,24
"('highway=primary', 'sidewalk=both', 'lanes=4')",sidewalk,22
"('highway=secondary', 'sidewalk=both', 'lanes=4')",sidewalk,20
"('highway=tertiary', 'cycleway=lane', 'lanes=3')","L1b_2,L1a_1",20
"('highway=service', 'sidewalk=no')",no,20
"('highway=tertiary', 'sidewalk=both', 'lanes=3')",sidewalk,19
"('highway=steps', 'foot=yes')",steps,19
"('highway=primary', 'cycleway=lane', 'oneway=yes', 'lanes=2')","M4_2,M2a_2,M2b_2,M2c,L1b_2,L1a_1",19
"('highway=primary', 'sidewalk=both', 'lanes=6')",sidewalk,19
