pattern	cycle_lane	is_shared	cycle_way	side_walk	bikable	description
('highway=cycleway',)			both			two way cycleway
('highway=cycleway', 'foot=yes')			both			two way cycleway
('highway=cycleway', 'bicycle=yes', 'foot=yes')			both			two way cycleway
('highway=cycleway', 'bicycle=yes')			both			two way cycleway
('highway=cycleway', 'bicycle=designated', 'foot=yes')			both			two way cycleway
('highway=cycleway', 'bicycle=yes', 'foot=permissive')			both			two way cycleway
('highway=cycleway', 'bicycle=designated')			both			two way cycleway
('highway=cycleway', 'bicycle=yes', 'foot=no')			both			two way cycleway
('highway=cycleway', 'bicycle=no', 'foot=permissive')			both			two way cycleway
('highway=cycleway', 'bicycle=destination', 'foot=yes')			both			two way cycleway
('highway=cycleway', 'bicycle=designated', 'foot=designated')			both			two way cycleway
('highway=cycleway', 'lanes=4')			both			two way cycleway
('highway=cycleway', 'foot=no')			both			two way cycleway
('highway=cycleway', 'cycleway=segregated', 'bicycle=designated', 'foot=no')			both			two way cycleway
('highway=footway',)					yes	footway
('highway=footway', 'foot=yes')					yes	footway
('highway=footway', 'bicycle=yes')					yes	footway
('highway=footway', 'bicycle=yes', 'foot=yes')					yes	footway
('highway=footway', 'foot=designated')					yes	footway
('highway=footway', 'foot=private')					yes	footway
('highway=footway', 'bicycle=dismount', 'foot=yes')					yes	footway
('highway=footway', 'bicycle=yes', 'foot=designated')					yes	footway
('highway=footway', 'foot=permissive')					yes	footway
('highway=footway', 'oneway=yes')					yes	footway
('highway=footway', 'sidewalk=yes')					yes	footway
('bicycle=no', 'foot=designated')					no	foot_nobk
('highway=footway', 'bicycle=dismount')					yes	footway
('highway=footway', 'sidewalk=no')					yes	footway
('highway=footway', 'foot=yes', 'oneway=no')					yes	footway
('highway=footway', 'bicycle=yes', 'sidewalk=no')					yes	footway
('highway=footway', 'bicycle=permissive', 'foot=permissive')					yes	footway
('highway=footway', 'bicycle=permissive')					yes	footway
('highway=footway', 'bicycle=no', 'foot=yes', 'oneway=yes')					no	foot_nobk
('highway=footway', 'bicycle=no', 'foot=destination', 'oneway=yes')					no	foot_nobk
('highway=footway', 'amenity=parking')					yes	footway
('highway=footway', 'amenity=fountain')					yes	footway
('highway=footway', 'sidewalk=left', 'oneway=no', 'lanes=1')					yes	footway
('highway=footway', 'bicycle=no')					no	foot_nobk
('highway=footway', 'bicycle=no', 'foot=yes')					no	foot_nobk
('highway=footway', 'bicycle=no', 'foot=destination')					no	foot_nobk
('highway=tertiary', 'cycleway=lane', 'lanes=2')	both					two way cycle lanes
('highway=tertiary', 'cycleway=lane', 'lanes=3')	both					two way cycle lanes
('highway=secondary', 'cycleway=lane', 'lanes=4')	both					two way cycle lanes
('highway=secondary', 'cycleway=lane', 'lanes=2')	both					two way cycle lanes
('highway=tertiary', 'cycleway=lane', 'lanes=4')	both					two way cycle lanes
('highway=tertiary', 'cycleway=lane', 'bicycle=designated', 'lanes=2')	both					two way cycle lanes
('highway=tertiary', 'cycleway=lane', 'oneway=no', 'lanes=2')	both					two way cycle lanes
('highway=primary', 'cycleway=lane', 'bicycle=yes', 'oneway=no', 'lanes=3')	both					two way cycle lanes
('highway=primary', 'cycleway=lane', 'lanes=4')	both					two way cycle lanes
('highway=primary', 'cycleway=lane', 'lanes=3')	both					two way cycle lanes
('highway=primary', 'cycleway=lane', 'bicycle=yes', 'oneway=no', 'lanes=2')	both					two way cycle lanes
('highway=primary', 'cycleway=lane', 'bicycle=yes', 'lanes=5')	both					two way cycle lanes
('highway=primary', 'cycleway=lane', 'lanes=2')	both					two way cycle lanes
('highway=tertiary', 'cycleway=lane')	both					two way cycle lanes
('highway=tertiary', 'cycleway=lane', 'bicycle=designated', 'lanes=3')	both					two way cycle lanes
('highway=tertiary', 'cycleway=lane', 'bicycle=designated', 'lanes=4')	both					two way cycle lanes
('highway=secondary', 'cycleway=lane', 'bicycle=designated', 'oneway=no', 'lanes=2')	both					two way cycle lanes
('highway=secondary', 'cycleway=lane', 'lanes=5')	both					two way cycle lanes
('highway=secondary', 'cycleway=lane', 'oneway=no', 'lanes=5')	both					two way cycle lanes
('highway=residential', 'cycleway=lane')	both					two way cycle lanes
('highway=residential', 'cycleway=lane', 'lanes=2')	both					two way cycle lanes
('highway=residential', 'cycleway=lane', 'oneway=no')	both					two way cycle lanes
('highway=primary', 'cycleway=lane', 'bicycle=yes', 'oneway=no', 'lanes=4')	both					two way cycle lanes
('highway=tertiary', 'cycleway=lane', 'sidewalk=both', 'lanes=2')	both			both		two way cycle lanes, two way sidewalk
('highway=tertiary', 'cycleway=lane', 'sidewalk=both', 'lanes=4')	both			both		two way cycle lanes, two way sidewalk
('highway=secondary', 'cycleway=lane', 'sidewalk=both', 'lanes=2')	both			both		two way cycle lanes, two way sidewalk
('highway=tertiary', 'cycleway=lane', 'sidewalk=yes', 'lanes=2')	both			both		two way cycle lanes, two way sidewalk
('highway=tertiary', 'cycleway=lane', 'bicycle=designated', 'sidewalk=both', 'lanes=2')	both			both		two way cycle lanes, two way sidewalk
('highway=secondary', 'cycleway=lane', 'sidewalk=both', 'lanes=4')	both			both		two way cycle lanes, two way sidewalk
('highway=primary', 'cycleway=lane', 'sidewalk=both', 'lanes=4')	both			both		two way cycle lanes, two way sidewalk
('highway=tertiary', 'cycleway=lane', 'sidewalk=right', 'lanes=2')	both			both		two way cycle lanes, two way sidewalk
