index_seg,ratio,URL
97,0.4,DzIQEHO57so
98,0.1,DzIQEHO57so
101,0.4,oyzvT9bd0Ik
102,0.4,BEmjqChYnpg
2639,0.3,BEmjqChYnpg
103,0.2,mGw88yPLIwA
104,0.4,Vs0GvbEZMVM
126,0.1,nOsvx6QJxKM
127,0.3,nOsvx6QJxKM
128,0.3,E5XAPi0wmo8
131,1.0,mQRUqfhwzSw
132,0.2,mQRUqfhwzSw
5341,0.3,mQRUqfhwzSw
134,0.6,bfwTo-8wxIk
2254,0.1,bfwTo-8wxIk
135,1.0,YSs9yVIp9Ss
136,0.2,YSs9yVIp9Ss
137,0.4,xdGEoSnVW8o
138,0.3,fnSeYk01nFM
139,0.5,k7V_7dOyJkE
140,0.4,k7V_7dOyJkE
179,1.0,LYaZcNWIfSk
12565,0.5,LYaZcNWIfSk
180,0.9,mJuuMHOtK5A
181,0.2,mJuuMHOtK5A
5203,0.2,mJuuMHOtK5A
182,0.2,gmr7DtCttgk
183,0.2,VhKnZBBBLTQ
3149,0.2,VhKnZBBBLTQ
250,0.2,9z4ZgogSlSk
3382,0.5,9z4ZgogSlSk
251,0.5,irY1MXDQCNE
252,0.5,FqvvEsInFok
253,0.3,q2rGSiuAncA
254,0.1,pYVQLMQTX44
255,1.0,pYVQLMQTX44
256,1.0,pYVQLMQTX44
257,0.2,pYVQLMQTX44
258,0.4,WAFbt6a8dAQ
267,0.5,tED0W-84XRA
2665,0.2,tED0W-84XRA
269,0.1,fK87XRJjDNg
329,0.2,uXymCnYZ-TI
330,0.5,ZHx0H1uQ7Ow
331,0.5,PdmF3_iKXkA
2177,0.2,PdmF3_iKXkA
332,0.5,KQ0DzyiYvbc
3150,0.2,KQ0DzyiYvbc
362,0.1,QfvOPvySOqQ
513,0.2,bPItnkN1oRo
574,0.5,7WGXtiaOjEc
575,0.2,7WGXtiaOjEc
576,0.9,wQoY3u8Al9A
13477,0.2,wQoY3u8Al9A
577,0.2,U1glvXv7qJE
13478,1.0,U1glvXv7qJE
578,0.5,6RWZgzpzUf4
579,0.3,6RWZgzpzUf4
580,0.5,kSmem-yE1mg
581,0.2,SSgLkO5RiiM
582,0.5,SSgLkO5RiiM
583,0.2,D9RymMeW1Xc
613,0.2,ZCit_F5vuvk
614,0.7,HU7wZStISBw
615,1.0,HU7wZStISBw
616,0.4,HU7wZStISBw
617,0.3,ghdMwmpjN6M
4010,1.0,ghdMwmpjN6M
648,0.4,sXDcwa61Adw
649,0.8,iCbSBHIYi7E
650,0.9,br3Gf69sWMs
651,0.7,eUUqRxUbrDE
4998,0.2,eUUqRxUbrDE
652,0.2,6Foh_IHYgrI
653,0.3,6Foh_IHYgrI
658,0.2,y9OzX8HJkd4
4271,0.5,y9OzX8HJkd4
659,0.4,8CTOir4hiyg
660,0.2,k4O6I9LooGE
661,1.0,k4O6I9LooGE
662,1.0,LmbIH_hnGxc
663,0.2,LmbIH_hnGxc
664,0.1,HIkyhQBRrdc
