index_seg,ugr
1001,2.0
1002,2.0
1003,2.3636363636363633
1004,2.8461538461538463
101,2.0
10393,4.0
10394,3.6363636363636362
10403,3.0
10448,3.0000000000000004
10454,2.0
10595,3.1428571428571432
11287,4.0
11288,4.0
11289,4.0
11484,2.75
11485,3.0
12064,4.0
12065,3.0
12261,4.0
12263,4.0
12264,4.0
12265,4.0
12565,1.0
12566,1.0
12567,1.0
1261,2.5
127,4.0
12849,3.0000000000000004
12898,3.0000000000000004
12942,1.0
13449,5.0
136,3.4999999999999996
137,3.5
1531,3.6666666666666665
1532,3.666666666666667
1533,3.333333333333333
180,3.0
181,3.75
182,3.2857142857142856
2260,4.0
251,3.0
258,3.0000000000000004
2635,2.0
2636,2.0
2641,2.5
2650,2.0
2652,1.5000000000000002
2653,2.0
2671,1.0
2672,1.0
2674,3.0
2675,2.5
2676,4.0
2685,2.0
269,4.0
3149,2.5
3380,3.777777777777778
3381,3.0
3387,3.0
3388,3.0000000000000004
3389,3.0000000000000004
3593,3.0
3717,2.0
3719,3.0
3946,4.0
3947,4.0
4012,1.5
4014,2.5
4271,3.0
4272,3.0
4273,3.0
4385,4.0
4418,4.0
4429,4.0
4430,3.272727272727273
4431,3.0000000000000004
4432,4.0
4480,4.0
4481,3.157894736842105
4569,4.4375
4570,5.0
4737,2.0
4789,3.611111111111111
4790,4.0
4812,3.0
4871,3.0
4872,3.0
4874,3.4999999999999996
4998,2.5
513,3.0000000000000004
5203,3.0000000000000004
5207,4.0
5208,4.0
5209,4.714285714285714
5210,4.266666666666667
5284,4.0
5285,4.0
5286,4.555555555555555
5287,2.9999999999999996
5367,2.6956521739130435
5452,4.0
5457,4.0
5458,3.0
5501,4.0
5616,3.5
5617,3.5
5665,3.0
5673,3.0
574,3.0
5750,2.9999999999999996
5756,2.5
5757,3.5
579,4.0
580,4.0
581,4.0
582,4.0
5821,2.0
583,4.8181818181818175
6000,3.0
6001,2.0
613,3.5
616,2.9999999999999996
617,3.0000000000000004
6214,1.0
6215,3.0000000000000004
6216,3.0000000000000004
6217,4.0
6330,3.0000000000000004
6331,3.0000000000000004
6332,2.9999999999999996
6333,4.0
6340,3.0000000000000004
651,2.5
658,3.0000000000000004
659,3.5000000000000004
664,4.0
672,2.0
673,2.0
675,3.0000000000000004
676,3.0
677,3.266666666666667
681,2.5
6939,3.0
6941,3.0000000000000004
6942,3.0
6945,2.0
7010,3.4999999999999996
7016,5.0
726,2.541666666666667
7313,3.0000000000000004
7316,2.5
7317,4.0
737,3.0
7573,3.0000000000000004
7594,2.0
7646,2.0
7647,2.545454545454545
7683,3.0
771,3.0000000000000004
7726,3.0000000000000004
7727,3.941176470588235
776,4.0
7769,3.0
777,4.0
7774,3.0000000000000004
7775,3.0
778,4.0
779,4.0
7878,2.6470588235294117
7879,3.3529411764705874
7880,3.3124999999999996
7881,3.0
7883,3.0000000000000004
808,2.9999999999999996
809,3.0000000000000004
8226,4.0
8258,4.0
8260,3.0
8288,4.0
8289,4.0
8290,4.0
8310,3.5882352941176467
8311,5.0
8345,4.0
8346,3.5
8347,3.0
8348,4.0
8952,2.0
9297,1.0
9298,1.0
9299,2.3333333333333335
9300,2.0
9306,1.3636363636363635
9307,2.0
9475,3.0
9476,3.0
968,3.0
969,3.0
97,4.0
970,3.0
971,3.0
972,3.545454545454545
973,3.7272727272727266
974,2.9999999999999996
975,2.2
9750,4.0
9751,2.6666666666666665
976,2.545454545454545
9768,3.0
977,2.0
98,3.0
9822,1.0
9855,3.0
9856,4.0
9857,3.0
9859,2.9999999999999996
9860,3.7272727272727266
9861,3.833333333333333
9873,3.0000000000000004
9874,3.0
9875,3.0
9881,2.0
9882,1.3333333333333335
