[Tue May 16 06:25:01.758797 2017] [mpm_prefork:notice] [pid 1267] AH00163: Apache/2.4.18 (Ubuntu) configured -- resuming normal operations
[Tue May 16 06:25:01.758816 2017] [core:notice] [pid 1267] AH00094: Command line: '/usr/sbin/apache2'
[Tue May 16 07:18:38.077080 2017] [:error] [pid 21790] [client 172.31.31.159:43114] script '/var/www/html/command.php' not found or unable to stat
[Tue May 16 14:00:23.103697 2017] [mpm_prefork:error] [pid 1267] AH00161: server reached MaxRequestWorkers setting, consider raising the MaxRequestWorkers setting
[Tue May 16 14:03:12.920541 2017] [:error] [pid 23652] [client 129.2.180.177:52006] PHP Notice:  Undefined index: email in /var/www/html/exp-lvl.php on line 27, referer: http://www.cyclingsafety.umd.edu/
[Tue May 16 14:03:15.568570 2017] [:error] [pid 23613] [client 129.2.180.177:52773] PHP Notice:  Undefined index: user_id in /var/www/html/exp-lvl-save.php on line 11, referer: http://www.cyclingsafety.umd.edu/exp-lvl.php
[Tue May 16 14:03:15.568588 2017] [:error] [pid 23613] [client 129.2.180.177:52773] PHP Notice:  Undefined index: has_survey in /var/www/html/exp-lvl-save.php on line 12, referer: http://www.cyclingsafety.umd.edu/exp-lvl.php
[Tue May 16 14:03:17.494227 2017] [:error] [pid 23553] [client 129.2.180.177:52904] PHP Notice:  Undefined index: user_id in /var/www/html/display_vid.php on line 45, referer: http://www.cyclingsafety.umd.edu/rate-video.html
[Tue May 16 14:03:52.052237 2017] [:error] [pid 23583] [client 129.2.180.177:54866] PHP Notice:  Undefined index: timezone in /var/www/html/rate-video.php on line 17, referer: http://www.cyclingsafety.umd.edu/rate-video.html
[Tue May 16 14:03:52.052267 2017] [:error] [pid 23583] [client 129.2.180.177:54866] PHP Notice:  Undefined index: user_id in /var/www/html/rateDB.php on line 14, referer: http://www.cyclingsafety.umd.edu/rate-video.html
[Tue May 16 14:03:52.052272 2017] [:error] [pid 23583] [client 129.2.180.177:54866] PHP Notice:  Undefined index: lid in /var/www/html/rateDB.php on line 16, referer: http://www.cyclingsafety.umd.edu/rate-video.html
[Tue May 16 14:03:52.052277 2017] [:error] [pid 23583] [client 129.2.180.177:54866] The uid is missing, referer: http://www.cyclingsafety.umd.edu/rate-video.html
[Tue May 16 14:03:52.118807 2017] [:error] [pid 23583] [client 129.2.180.177:54866] PHP Notice:  Undefined index: user_id in /var/www/html/display_vid.php on line 45, referer: http://www.cyclingsafety.umd.edu/rate-video.html
[Tue May 16 14:04:16.194574 2017] [:error] [pid 23657] [client 129.2.180.177:55692] PHP Notice:  Undefined index: timezone in /var/www/html/rate-video.php on line 17, referer: http://www.cyclingsafety.umd.edu/rate-video.html
[Tue May 16 14:04:16.194604 2017] [:error] [pid 23657] [client 129.2.180.177:55692] PHP Notice:  Undefined index: user_id in /var/www/html/rateDB.php on line 14, referer: http://www.cyclingsafety.umd.edu/rate-video.html
