index_seg,csl
1001,2.0
1002,2.0
1003,2.0
1004,2.9000000000000004
101,2.3636363636363633
10403,5.0
10448,5.0
10449,5.0
10452,2.9999999999999996
10595,3.0000000000000004
11289,4.0
11484,3.25
11485,3.0000000000000004
11960,2.8000000000000003
1204,4.0
12064,4.500000000000001
12261,4.0
12263,4.0
12264,4.0
12265,4.0
12566,1.0
12568,2.0
127,4.0
128,3.428571428571429
12849,3.0000000000000004
12898,5.0
134,3.0
13447,4.0
13449,4.0
136,4.0
1532,3.4999999999999996
1533,3.333333333333333
182,3.2222222222222223
2260,4.0
252,1.0
253,2.5
256,3.0
2635,2.0
2636,2.0
2641,2.5
2650,2.0
2658,3.0
2671,4.0
2672,3.0
2674,2.9999999999999996
2675,2.0
2685,2.0
269,4.0
2733,3.0
3149,3.0000000000000004
330,2.5
331,3.0
332,3.0
3380,4.0
3387,2.9999999999999996
3388,3.4999999999999996
3389,3.0000000000000004
3593,3.0
362,3.0000000000000004
3720,2.0
3946,2.0
3947,4.0
4012,1.0
4014,2.3333333333333335
4272,3.0
4273,3.0
4418,4.0
4419,4.0
4429,2.9999999999999996
4430,3.0000000000000004
4432,4.0
4481,3.0000000000000004
4569,4.3999999999999995
4570,4.333333333333333
4737,2.0
4789,4.0
4790,4.0
4812,3.1818181818181817
4871,3.5
4874,4.25
4998,2.0
513,3.0000000000000004
5207,4.0
5208,3.0000000000000004
5209,5.0
5210,4.266666666666667
5285,4.0
5286,4.714285714285714
5288,4.0
5367,2.9999999999999996
5452,4.0
5665,3.0
5669,4.0
5670,4.0
5671,4.0
5673,4.0
574,3.0
5749,3.0000000000000004
5750,3.3
5757,3.0
578,2.0
579,4.0
580,4.0
581,3.5
582,4.0
583,4.5
6000,2.0
6001,2.0
613,3.0000000000000004
616,2.9999999999999996
617,3.0000000000000004
6214,1.0
6215,3.0000000000000004
6216,2.0
6217,4.0
6218,4.0
6330,3.0000000000000004
6332,2.9999999999999996
6340,3.0000000000000004
648,4.0
649,2.0
651,2.9999999999999996
658,2.0
659,5.0
663,3.0
664,3.888888888888889
666,4.0
672,2.0
673,2.0
675,2.0
676,3.0
677,3.9090909090909087
681,3.5
683,2.0
6939,3.5
6940,3.0
6941,3.0000000000000004
6942,4.0
6943,4.0
6945,4.0
7010,4.0
7011,4.0
725,3.0000000000000004
726,3.3636363636363633
7316,3.4
7317,4.0
7318,4.5
7321,5.0
7322,5.0
737,3.0
7594,2.909090909090909
7646,2.0
7647,2.545454545454545
7683,3.0
7726,3.0000000000000004
7727,4.0
7728,3.0000000000000004
776,4.0
7769,3.0
777,4.0
7775,3.0
7878,2.6470588235294117
7879,2.9999999999999996
7880,3.0
7881,3.0000000000000004
7882,3.0
7883,3.0000000000000004
808,3.0000000000000004
809,2.4000000000000004
8226,4.0
8258,4.0
8259,5.0
8260,3.2
8288,4.0
8289,4.0
8310,4.0
8311,5.0
8345,4.0
8346,4.0
8347,3.0
8348,4.0
8349,4.0
8458,4.0
893,1.0
894,3.0
8952,2.5
8953,4.0
9299,2.0
9300,2.0
9301,1.0
9306,2.0
9475,3.0
9476,3.0
9605,2.9999999999999996
969,1.909090909090909
97,4.0
970,2.0588235294117645
972,2.0
973,4.0
975,2.5
9751,3.0
976,2.0
9768,2.0
977,2.9999999999999996
9855,3.5
9856,4.0
9858,4.0
9859,2.842105263157895
9860,3.7272727272727266
9861,4.5
9874,3.0
9875,3.0
9882,1.3333333333333335
