,question,answer,#data points,r2,rmse,same_class_percentage
0,bk_purpose,No Info,96,0.24429354859103625,0.6281760929330874,0.53125
1,bk_purpose,Mainly utility biking – traveling from one location to another,402,0.6480894299488831,0.416462882785395,0.7263681592039801
2,bk_purpose,"Mainly recreational biking – biking for recreation, leisure, and health",198,0.1298577009828017,0.6365102119943726,0.5757575757575758
3,bk_purpose,"50% utility, 50% recreational",368,0.48971921634653515,0.5138487422301958,0.6494565217391305
4,age,No Info,55,0.037131739911968165,0.6859871669187962,0.4909090909090909
5,age,< 18,0,,,
6,age,18-24,66,-0.3658342417608036,0.7119365590872642,0.45454545454545453
7,age,25-34,380,0.6000568728946307,0.47427706822163007,0.6868421052631579
8,age,35-44,333,0.43535537435187743,0.5150064467546788,0.6276276276276276
9,age,45-54,164,0.1554575155812744,0.6492439809541657,0.5487804878048781
10,age,55-64,180,0.19102914777080593,0.5221937132781759,0.6055555555555555
11,age,65-74,101,-2.0690495230029664,1.1191107731674839,0.2871287128712871
12,age,>=75,0,,,
13,ethnicity,No Info,55,0.037131739911968165,0.6859871669187962,0.4909090909090909
14,ethnicity,White,433,0.9249222645205173,0.20492303826920283,0.8845265588914549
15,ethnicity,Hispanic or Latino,143,-0.12271868830453725,0.7404176890610253,0.4965034965034965
16,ethnicity,Black or African American,2,-1.0,0.1379720548656673,1.0
17,ethnicity,Native American or American Indian,0,,,
18,ethnicity,Asian / Pacific Islander,150,-0.20601780901231637,0.7949488009963189,0.48
19,ethnicity,Other,6,0.551186297494964,0.5010423484039889,0.3333333333333333
20,edu,No Info,62,0.00794832991517802,0.6812901618076583,0.5161290322580645
21,edu,"Nursery school to some high school, no diploma",0,,,
22,edu,"High school graduate, diploma or the equivalent (for example: GED)",7,0.6129452553202089,0.6323132516236176,0.42857142857142855
23,edu,"Some college credit, no degree",22,-1.8637723120587824,1.0054960125395178,0.5909090909090909
24,edu,Associate degree,54,-0.67810392748455,0.7522656054051393,0.5370370370370371
25,edu,Bachelor’s degree,324,0.47544514629436174,0.5185004541339875,0.6358024691358025
26,edu,Master’s degree,397,0.7175280534631259,0.37941746585219943,0.7531486146095718
27,edu,Doctorate degree,195,0.015509465894680385,0.676163681949861,0.5230769230769231
28,marital,No Info,55,0.037131739911968165,0.6859871669187962,0.4909090909090909
29,marital,"Single, never married",348,0.6026611762417251,0.448270674178291,0.7011494252873564
30,marital,Married or domestic partnership,409,0.8356991263276277,0.2927708332181399,0.8068459657701712
31,marital,Widowed,0,,,
32,marital,Divorced,75,-0.004221128606420876,0.7188677474854431,0.5733333333333334
33,marital,Separated,0,,,
34,gender,No Info,55,0.037131739911968165,0.6859871669187962,0.4909090909090909
35,gender,Female,380,0.6633704280178134,0.434050192853129,0.6710526315789473
36,gender,Male,399,0.6697327726344932,0.38799652587942624,0.731829573934837
37,gender,Transgender – Female,0,,,
38,gender,Transgender – Male,9,-1.565922866239032,0.8860906962430909,0.5555555555555556
39,gender,Gender-variant / Non-conforming,0,,,
40,gender,Not listed,0,,,
41,driver,no,198,-0.13043998868991125,0.7210270634128079,0.5606060606060606
42,driver,yes,436,0.9537025711383736,0.16134465021231278,0.9243119266055045
43,driver,No Info,0,,,
44,car,no,327,0.30950371973732316,0.5589347898290541,0.6299694189602446
45,car,yes,423,0.8890572328368704,0.2472914903943541,0.8297872340425532
46,car,No Info,0,,,
47,household_income,No Info,110,0.19931895058679971,0.6314355711076067,0.5818181818181818
48,household_income,"Less than $24,999",115,-0.13875003163850685,0.7797068688142867,0.45217391304347826
49,household_income,"$25,000 to $39,999",97,-0.7277116440510454,0.8502173945882029,0.5154639175257731
50,household_income,"$40,000 to $54,999",62,-0.3026044577495386,0.6011303005172256,0.532258064516129
