,gpx,vfile,match,bad_max,bad_int
0,GPX/Track_2015-10-15 060649.gpx,DCIM/100_VIRB/VIRB0001.MP4,True,True,False
1,GPX/Track_2017-02-20 200826.gpx,DCIM/102_VIRB/VIRB0002.MP4,False,False,False
2,GPX/Track_2017-02-20 201326.gpx,DCIM/103_VIRB/VIRB0003.MP4,False,False,False
3,GPX/Track_2017-02-21 110332.gpx,DCIM/103_VIRB/VIRB0006.MP4,True,False,False
4,GPX/Track_2017-02-21 110604.gpx,DCIM/103_VIRB/VIRB0007.MP4,True,False,False
5,GPX/Track_2017-02-21 113002.gpx,DCIM/103_VIRB/VIRB0008.MP4,True,False,False
6,GPX/Track_2017-02-21 114737.gpx,DCIM/103_VIRB/VIRB0009.MP4,True,False,False
7,GPX/Track_2017-02-21 120031.gpx,DCIM/103_VIRB/VIRB0010.MP4,True,False,False
8,GPX/Track_2017-02-21 123156.gpx,DCIM/103_VIRB/VIRB0011.MP4,False,False,False
9,GPX/Track_2017-02-21 125521.gpx,DCIM/104_VIRB/VIRB0001.MP4,False,False,False
10,GPX/Track_2017-02-21 125536.gpx,DCIM/104_VIRB/VIRB0002.MP4,True,False,False
11,GPX/Track_2017-02-21 131933.gpx,DCIM/104_VIRB/VIRB0003.MP4,True,False,False
12,GPX/Track_2017-02-21 134158.gpx,DCIM/104_VIRB/VIRB0004.MP4,True,False,False
13,GPX/Track_2017-02-21 175509.gpx,DCIM/104_VIRB/VIRB0005.MP4,False,False,False
14,GPX/Track_2017-02-21 181030.gpx,DCIM/104_VIRB/VIRB0006.MP4,False,False,False
